,corr_coef,p_value,num_steps,sample_size
68,0.9343676125615986,8.37383892710906e-17,13,50
69,0.9342352221300705,8.656744837773627e-17,14,50
70,0.9340900517375279,8.97724701054114e-17,15,50
71,0.9339968266633405,9.188895440036335e-17,16,50
72,0.9338858819427439,9.446867163911501e-17,17,50
73,0.9337868905577532,9.682760777989734e-17,18,50
74,0.9337230094069787,9.837906944545222e-17,19,50
75,0.9336748280225577,9.9564618398309e-17,20,50
76,0.9265927573874022,5.286189441750354e-16,2,100
77,0.9252579882647584,7.106439630732326e-16,3,100
78,0.9214689322795719,1.599116883990143e-15,4,100
79,0.918517284040594,2.9257825357382617e-15,5,100
80,0.916624631136011,4.25913782933712e-15,6,100
81,0.9154050336901705,5.399802529464205e-15,7,100
82,0.9146111096117127,6.289786170830138e-15,8,100
83,0.9139304609083263,7.160295137870006e-15,9,100
84,0.9134207051481246,7.884760214416329e-15,10,100
85,0.9130505163071623,8.4532740635177e-15,11,100
86,0.9126601510907009,9.094193737644625e-15,12,100
87,0.9123749594780475,9.590885084458383e-15,13,100
88,0.9121479679599196,1.0004241878523634e-14,14,100
89,0.9119179595003757,1.044005736230924e-14,15,100
90,0.9117169325409806,1.0835448409128956e-14,16,100
91,0.911559976315818,1.115385537077338e-14,17,100
92,0.9114105234817712,1.146516141758176e-14,18,100
93,0.9112887438287492,1.1724818115188114e-14,19,100
94,0.9111586250528332,1.2008331259997248e-14,20,100
95,0.8879710488705372,5.151845309129178e-13,2,500
96,0.9099643804047314,1.4927415158066765e-14,3,500
97,0.9066520903725133,2.6877183553699406e-14,4,500
98,0.9035415805754609,4.5785466756907585e-14,5,500
99,0.901790801564299,6.130910590947294e-14,6,500
100,0.9005785595542127,7.480606734014229e-14,7,500
101,0.899613483418553,8.748674247685228e-14,8,500
102,0.8988714100975473,9.857520494918589e-14,9,500
103,0.8982990370294557,1.0801125276482939e-13,10,500
104,0.8978233339256421,1.1648944424154897e-13,11,500
105,0.8974785971801557,1.2301803326343909e-13,12,500
106,0.8971631089425602,1.2929102486221756e-13,13,500
107,0.8968826463248756,1.3511746540861976e-13,14,500
108,0.8966776780978358,1.395298271226754e-13,15,500
109,0.8964706762295147,1.4412241435325389e-13,16,500
110,0.8962859085498778,1.4834070408979825e-13,17,500
111,0.8961358332741142,1.5185161518078402e-13,18,500
112,0.8959990345388076,1.5511946623723474e-13,19,500
113,0.8958781358871966,1.580621063453965e-13,20,500
114,0.8972055696630095,1.2842968314671548e-13,2,1000
115,0.9100585009927958,1.4675213559826022e-14,3,1000
116,0.9029171196855657,5.084266648415771e-14,4,1000
117,0.8987227577352958,1.0094882994271095e-13,5,1000
118,0.8960609344054051,1.5363274113334297e-13,6,1000
119,0.894018134437002,2.104488143833757e-13,7,1000
120,0.8927457195888066,2.5519605742065606e-13,8,1000
121,0.8916600219425191,3.0025511913510234e-13,9,1000
122,0.8908327931650394,3.3946550969154194e-13,10,1000
123,0.8901590813598089,3.7488163947338455e-13,11,1000
124,0.889634904906135,4.047937937620309e-13,12,1000
125,0.8891740973169033,4.3291739040346675e-13,13,1000
126,0.8888124336336016,4.562577641948771e-13,14,1000
127,0.8884663410068526,4.796895975071018e-13,15,1000
128,0.8881821438081314,4.99766593049762e-13,16,1000
129,0.8879360091581725,5.177863630070804e-13,17,1000
130,0.8877064319895043,5.351394388026141e-13,18,1000
131,0.88751332964474,5.501546485496217e-13,19,1000
132,0.8873360215486079,5.642875072466445e-13,20,1000
