,nr_steps,sample_size,mean,std,se,nr_features
60,12,5,0.6,0.12960275845829825,0.05796011559684814,13
61,12,10,0.7,0.14921670482891655,0.06673173907519571,13
62,12,50,0.7875,0.07126096406869611,0.0318688719599549,13
63,12,100,0.8625,0.08149003006503311,0.036443449342783124,13
64,12,500,1.0,0.0,0.0,13
65,12,1000,1.0,0.0,0.0,13
66,13,5,0.5875,0.12960275845829825,0.05796011559684814,14
67,13,10,0.675,0.14252192813739223,0.0637377439199098,14
68,13,50,0.825,0.08149003006503311,0.036443449342783124,14
69,13,100,0.8875,0.06846531968814579,0.030618621784789735,14
70,13,500,1.0,0.0,0.0,14
71,13,1000,1.0,0.0,0.0,14
72,14,5,0.5875,0.12960275845829825,0.05796011559684814,15
73,14,10,0.7625,0.12022115038544591,0.053764532919016415,15
74,14,50,0.825,0.08149003006503311,0.036443449342783124,15
75,14,100,0.875,0.06250000000000001,0.027950849718747377,15
76,14,500,1.0,0.0,0.0,15
77,14,1000,1.0,0.0,0.0,15
78,15,5,0.5875,0.12960275845829825,0.05796011559684814,16
79,15,10,0.7375,0.09270248108869578,0.04145780987944249,16
80,15,50,0.825,0.08149003006503311,0.036443449342783124,16
81,15,100,0.8875,0.06846531968814579,0.030618621784789735,16
82,15,500,1.0,0.0,0.0,16
83,15,1000,1.0,0.0,0.0,16
84,16,5,0.5875,0.12960275845829825,0.05796011559684814,17
85,16,10,0.7375,0.1202211503854459,0.05376453291901641,17
86,16,50,0.825,0.08149003006503311,0.036443449342783124,17
87,16,100,0.9,0.055901699437494755,0.025000000000000005,17
88,16,500,1.0,0.0,0.0,17
89,16,1000,1.0,0.0,0.0,17
90,17,5,0.5875,0.12960275845829825,0.05796011559684814,18
91,17,10,0.7375,0.1202211503854459,0.05376453291901641,18
92,17,50,0.825,0.08149003006503311,0.036443449342783124,18
93,17,100,0.8875,0.06846531968814579,0.030618621784789735,18
94,17,500,1.0,0.0,0.0,18
95,17,1000,1.0,0.0,0.0,18
96,18,5,0.575,0.11180339887498948,0.049999999999999996,19
97,18,10,0.7375,0.1202211503854459,0.05376453291901641,19
98,18,50,0.825,0.08149003006503311,0.036443449342783124,19
99,18,100,0.8875,0.06846531968814579,0.030618621784789735,19
100,18,500,1.0,0.0,0.0,19
101,18,1000,1.0,0.0,0.0,19
102,19,5,0.55,0.128086884574495,0.057282196186948,20
103,19,10,0.7375,0.1202211503854459,0.05376453291901641,20
104,19,50,0.825,0.08149003006503311,0.036443449342783124,20
105,19,100,0.8875,0.05229125165837973,0.023385358667337135,20
106,19,500,1.0,0.0,0.0,20
107,19,1000,1.0,0.0,0.0,20
