,nr_moments,sample_size,mean,std,se
64,11,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
65,11,1000,1.0,0.0,0.0
66,12,5,0.425,0.06846531968814577,0.03061862178478973
67,12,10,0.4333333333333334,0.18066236157232332,0.08079466429027214
68,12,50,0.6333333333333334,0.11180339887498952,0.05000000000000002
69,12,100,0.775,0.16822191031821962,0.07523112535528247
70,12,500,0.9833333333333334,0.022821773229381937,0.010206207261596581
71,12,1000,1.0,0.0,0.0
72,13,5,0.4166666666666667,0.08838834764831845,0.03952847075210474
73,13,10,0.4333333333333334,0.18066236157232332,0.08079466429027214
74,13,50,0.625,0.11410886614690963,0.051031036307982884
75,13,100,0.7916666666666667,0.1443375672974064,0.06454972243679026
76,13,500,0.9833333333333332,0.03726779962499654,0.016666666666666684
77,13,1000,1.0,0.0,0.0
78,14,5,0.45,0.07453559924999298,0.033333333333333326
79,14,10,0.4416666666666667,0.19229967932023875,0.08599903100229288
80,14,50,0.625,0.10622957319984969,0.047507309379130745
81,14,100,0.8083333333333333,0.15756392000990857,0.07046472718869898
82,14,500,0.975,0.03726779962499653,0.01666666666666668
83,14,1000,1.0,0.0,0.0
84,15,5,0.4166666666666667,0.07795119555779044,0.03486083443891981
85,15,10,0.4583333333333333,0.21449229460389585,0.09592387027684449
86,15,50,0.625,0.11410886614690963,0.051031036307982884
87,15,100,0.8083333333333333,0.18304902197073997,0.08186201126828542
88,15,500,0.975,0.03726779962499653,0.01666666666666668
89,15,1000,1.0,0.0,0.0
90,16,5,0.4333333333333333,0.0756912588524373,0.033850160019316504
91,16,10,0.4666666666666667,0.20707956066315295,0.09260879487872029
92,16,50,0.625,0.09316949906249122,0.04166666666666666
93,16,100,0.8,0.19851882082619327,0.08878031563609382
94,16,500,0.9833333333333334,0.022821773229381875,0.010206207261596554
95,16,1000,1.0,0.0,0.0
96,17,5,0.45,0.07453559924999298,0.033333333333333326
97,17,10,0.4583333333333333,0.19764235376052372,0.08838834764831845
98,17,50,0.625,0.09316949906249122,0.04166666666666666
99,17,100,0.8,0.19851882082619327,0.08878031563609382
100,17,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
101,17,1000,1.0,0.0,0.0
102,18,5,0.4416666666666667,0.08640183897219884,0.03864007706456543
103,18,10,0.4666666666666667,0.191847740553689,0.08579691784155835
104,18,50,0.6166666666666666,0.0994778032192777,0.04448782605013047
105,18,100,0.8083333333333332,0.19454362549881252,0.08700255424092124
106,18,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
107,18,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
108,19,5,0.4416666666666667,0.07569125885243728,0.0338501600193165
109,19,10,0.45,0.20497289793748072,0.09166666666666666
110,19,50,0.6166666666666666,0.08539125638299669,0.03818813079129868
111,19,100,0.7916666666666667,0.20623947784607635,0.09223309842157772
112,19,500,0.9833333333333334,0.022821773229381875,0.010206207261596554
113,19,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
114,20,5,0.4583333333333333,0.07795119555779044,0.03486083443891981
115,20,10,0.4416666666666666,0.1733052861923785,0.0775044801572428
116,20,50,0.6083333333333333,0.09592387027684447,0.04289845892077916
117,20,100,0.775,0.20112530643578616,0.08994597143717875
118,20,500,0.975,0.03726779962499653,0.01666666666666668
119,20,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
